Mass,Gamma,b,Velocity,class
3.78105E+14,0.727248262,0.969450775,3.930861891,1
1.0574E+15,0.204698777,0.977791515,4.061641803,2
6.6643E+13,0.6706618,0.706059068,6.834840725,1
7.20692E+16,0.377492179,0.322630396,18.19271748,2
2.93859E+13,0.326863307,0.950682347,4.313770547,1
6.09222E+14,0.191956079,0.436716571,8.02207267,2
1.26225E+15,0.038594955,0.939736297,6.734376941,1
1.52918E+16,0.909438009,0.641239479,16.07077104,2
2.7535E+13,0.94980632,0.906232338,3.554889449,1
5.51724E+13,0.366194395,0.436933298,5.201413387,2
2.11183E+13,0.524317315,0.43040546,15.81317815,4
7.20986E+16,0.392426395,0.583979891,15.7279413,2
6.399E+13,0.627174455,0.975743752,8.412520337,1
2.67234E+14,0.052467236,0.683213949,13.76500049,1
7.46597E+13,0.003671226,0.940472974,2.701131972,1
5.94881E+14,0.592531634,0.800383449,16.30141084,1
2.62381E+16,0.333502033,0.307791487,7.540342988,2
6.48628E+13,0.813565376,0.641532727,8.006355869,1
4.27921E+14,0.58410733,0.354567523,2.779586563,2
2.67628E+13,0.200061509,0.649434046,7.022106745,3
1.04373E+14,0.456296664,0.763442704,3.479248918,1
7.6858E+13,0.368176201,0.793294229,3.826330124,1
8.9513E+16,0.529149561,0.158212504,17.79437456,2
4.49444E+16,0.613146109,0.393479077,15.94439279,2
4.35518E+14,0.852579494,0.406319174,4.456242778,2
1.11461E+14,0.395591254,0.960895812,23.82627818,1
3.58382E+15,0.049281669,0.984797234,7.053344893,2
1.25127E+17,0.48029231,0.229075111,25.48069621,2
3.40148E+13,0.762182982,0.732901599,6.660972148,1
2.98007E+16,0.969766521,0.317226387,11.28015774,2
6.7388E+15,0.75371045,0.689385334,8.283354238,2
3.12052E+16,0.393546971,0.471092961,13.29175737,2
3.76006E+13,0.560819626,0.672238124,5.299739374,1
2.80477E+13,0.971148117,0.579441996,4.761397591,1
5.85221E+13,0.767958054,0.634814479,4.644760765,1
2.61937E+13,0.333479767,0.783881011,6.805974072,1
2.63029E+16,0.120163142,0.099172389,13.28183075,2
2.85787E+14,0.73211524,0.942006431,3.816497217,1
1.89757E+16,0.23074836,0.520380086,15.18537054,2
2.73878E+14,0.59012813,0.485245315,23.7754921,4
2.10415E+14,0.57473746,0.852014153,8.048126691,1
3.71401E+13,0.835649037,0.88411666,5.994185889,1
1.1844E+15,0.038220605,0.585388334,10.06683711,1
3.11416E+13,0.788793407,0.399620342,21.84634556,4
8.96246E+16,0.705896734,0.360452569,17.44866392,2
2.6592E+13,0.207130784,0.532203542,6.135819531,3
4.6714E+15,0.589495697,0.981851533,6.590398624,2
6.05663E+13,0.384962298,0.937119532,3.649764726,1
